data1,data2,data3,data4,data5,data6,data7,data8
3.97566261,-4.562678215,300.0000005,100.0000081,75.00002098,0.100001755,0.100000823,0.100000382
4.000666778,-4.516847759,300.0000009,100.0000097,75.00002048,0.100002632,0.100001331,0.100000681
4.025670945,-4.477087987,300.0000013,100.000011,75.00002007,0.100003389,0.100001769,0.100000939
4.050675113,-4.444019954,300.0000017,100.0000122,75.00001975,0.100004023,0.100002136,0.100001154
4.07567928,-4.417946438,300.000002,100.0000131,75.00001952,0.100004531,0.10000243,0.100001327
4.100683447,-4.398855886,300.0000022,100.0000138,75.00001938,0.10000491,0.100002649,0.100001456
4.125687615,-4.386439346,300.0000023,100.0000142,75.00001932,0.100005159,0.100002792,0.10000154
4.150691782,-4.380119084,300.0000023,100.0000145,75.00001934,0.100005279,0.100002861,0.10000158
4.175695949,-4.379087138,300.0000023,100.0000145,75.00001943,0.100005275,0.100002858,0.100001578
4.200700117,-4.382351704,300.0000023,100.0000143,75.00001958,0.100005162,0.100002792,0.100001538
4.225704284,-4.388789041,300.0000022,100.000014,75.00001977,0.100004957,0.100002673,0.100001468
4.250708451,-4.397198397,300.000002,100.0000135,75.00001997,0.10000469,0.100002517,0.100001376
4.275712619,-4.406357498,300.0000019,100.000013,75.00002017,0.100004394,0.100002346,0.100001275
4.300716786,-4.415076184,300.0000017,100.0000125,75.00002033,0.100004108,0.10000218,0.100001178
4.325720953,-4.422245983,300.0000016,100.000012,75.00002042,0.100003874,0.100002045,0.100001098
4.350725121,-4.426883685,300.0000015,100.0000118,75.00002043,0.100003733,0.100001964,0.100001051
4.375729288,-4.428167322,300.0000015,100.0000117,75.00002033,0.10000372,0.100001957,0.100001047
4.400733456,-4.425463374,300.0000016,100.000012,75.0000201,0.100003866,0.100002043,0.100001099
4.425737623,-4.418344437,300.0000018,100.0000125,75.00001975,0.100004192,0.100002233,0.100001211
4.45074179,-4.406597067,300.0000021,100.0000134,75.00001926,0.100004708,0.100002534,0.100001389
4.475745958,-4.39021992,300.0000024,100.0000146,75.00001865,0.100005414,0.100002945,0.100001632
4.500750125,-4.369412775,300.0000029,100.0000161,75.00001793,0.100006298,0.100003459,0.100001936
4.525754292,-4.344557349,300.0000035,100.0000179,75.00001712,0.100007339,0.100004064,0.100002293
4.55075846,-4.316191183,300.0000041,100.0000199,75.00001625,0.100008508,0.100004742,0.100002693
4.575762627,-4.28497607,300.0000048,100.0000221,75.00001533,0.100009771,0.100005475,0.100003126
4.600766794,-4.25166271,300.0000055,100.0000244,75.0000144,0.10001109,0.100006241,0.100003577
4.625770962,-4.217053346,300.0000062,100.0000268,75.00001349,0.100012429,0.100007018,0.100004035
4.650775129,-4.181964119,300.0000069,100.0000291,75.0000126,0.100013755,0.100007787,0.100004489
4.675779297,-4.147188843,300.0000076,100.0000314,75.00001176,0.100015038,0.100008531,0.100004927
4.700783464,-4.113465733,300.0000083,100.0000335,75.00001099,0.100016253,0.100009235,0.100005342
4.725787631,-4.081448387,300.0000089,100.0000355,75.00001029,0.100017383,0.10000989,0.100005728
4.750791799,-4.051682126,300.0000094,100.0000373,75.00000967,0.100018415,0.100010488,0.10000608
4.775795966,-4.024586423,300.0000099,100.000039,75.00000912,0.100019341,0.100011025,0.100006396
