var1,var2,var3
3.70185092546273,8.99611152589624e-13,8.98044707880594e-13
3.80190095047524,7.96756276418216e-13,7.95224953151984e-13
3.90195097548774,6.92578502808266e-13,6.90686273483947e-13
4.00200100050025,5.85040467448106e-13,5.83326722092519e-13
4.10205102551276,4.78206743902895e-13,4.75841109244428e-13
4.20210105052526,3.97670855924201e-13,3.93823109798969e-13
4.30215107553777,3.42200643821212e-13,3.37569318971729e-13
4.40220110055028,2.94508556575589e-13,2.89829916056656e-13
4.50225112556278,2.46522821518306e-13,2.41708432149784e-13
4.60230115057529,2.05332018199381e-13,1.99986752901174e-13
4.70235117558779,1.76120425568004e-13,1.70094836141975e-13
4.8024012006003,1.62769685176756e-13,1.55890868377086e-13
4.90245122561281,1.64994408875989e-13,1.57467756262061e-13
5.00250125062531,1.77955752912491e-13,1.69922042205788e-13
5.10255127563782,2.0324584299019e-13,1.94482304974857e-13
5.20260130065033,2.45076085955648e-13,2.35477074921641e-13
5.30265132566283,3.03269977659904e-13,2.92886329070075e-13
5.40270135067534,3.7667755444849e-13,3.65570589759813e-13
5.50275137568784,4.60484931812073e-13,4.49035852012035e-13
5.60280140070035,5.47679242302757e-13,5.36083210512031e-13
5.70285142571286,6.41384251408719e-13,6.29292354305889e-13
5.80290145072536,7.49139822302673e-13,7.36197744489546e-13
5.90295147573787,8.80002313067384e-13,8.65840911672514e-13
6.00300150075037,1.02712980230128e-12,1.0126343706253e-12
6.10305152576288,1.17441772043663e-12,1.1597279430413e-12
6.20310155077539,1.33953650354303e-12,1.32321544237818e-12
6.30315157578789,1.54054054223135e-12,1.52232073384409e-12
6.4032016008004,1.76550305052048e-12,1.74607142005751e-12
6.50325162581291,1.99798763817183e-12,1.97766745259234e-12
6.60330165082541,2.2246483879286e-12,2.20402719496639e-12
6.70335167583792,2.43061445317836e-12,2.41012200400352e-12
6.80340170085042,2.61964370382516e-12,2.59863276848701e-12
6.90345172586293,2.80532784902631e-12,2.78335435325897e-12
7.00350175087544,2.98311047982169e-12,2.96065354127928e-12
7.10355177588794,3.13855216785283e-12,3.11603663205753e-12
7.20360180090045,3.2647901364682e-12,3.24234120302181e-12
7.30365182591296,3.36011005331828e-12,3.33783549168385e-12
7.40370185092546,3.42739039769876e-12,3.4052116012592e-12
7.50375187593797,3.4733139981988e-12,3.45109480160499e-12
7.60380190095047,3.50146781245742e-12,3.479228696148e-12
7.70385192596298,3.51250262706839e-12,3.49027954252159e-12
7.80390195097549,3.508690508134e-12,3.48645624479885e-12
7.90395197598799,3.4943743069813e-12,3.47209254141062e-12
8.0040020010005,3.47493390228311e-12,3.45258150696259e-12
8.10405202601301,3.45516055390867e-12,3.4328043531812e-12
8.20410205102551,3.43704535197901e-12,3.41478965592458e-12
8.30415207603802,3.42135799199395e-12,3.39917290972053e-12
8.40420210105053,3.40670602162041e-12,3.3845258368273e-12
8.50425212606303,3.3903835338553e-12,3.368153633243e-12
8.60430215107554,3.37187867983176e-12,3.34957088430679e-12
8.70435217608804,3.35284560044826e-12,3.33050323045051e-12
8.80440220110055,3.33470708427923e-12,3.31240742775754e-12
8.90445222611306,3.31805788257474e-12,3.29581536089075e-12
9.00450225112556,3.30243237628081e-12,3.28020745922805e-12
9.10455227613807,3.28633607523114e-12,3.26408758281232e-12
9.20460230115058,3.26889794669005e-12,3.24660422640043e-12
9.30465232616308,3.25070956575292e-12,3.22838313634577e-12
9.40470235117559,3.23284241917193e-12,3.21052545648482e-12
9.50475237618809,3.21588728520691e-12,3.19360599648602e-12
9.6048024012006,3.19973407705426e-12,3.17747422810856e-12
9.70485242621311,3.18361847640419e-12,3.16135046634645e-12
9.80490245122561,3.16681930949754e-12,3.14452459576172e-12
9.90495247623812,3.14938024788265e-12,3.12706100306281e-12
